,intercept,slope1,slope2,day
208909,6.3974908951522975,-0.42489507132465243,0.013897136708009336,1.1014569042895077
208996,5.6187654705004855,0.36949386352679753,-0.00486994818629532,2.6187405628709146
209052,3.9953496643415556,1.3490460668584143,0.00014908416650202352,3.105449398634184
209183,4.737536593036266,1.1170386371134606,-0.01956496363371248,8.00000000000462
209193,5.955138838814685,0.15188044979015827,0.0049791228373875385,1.2438920829291042
209286,4.468771246782287,1.1551738989105562,0.012132739124590288,6.824370510798286
209327,4.055218021551217,0.3481312753056401,0.03872222565412602,5.124761474272347
209328,6.398572609327733,1.0523868950571527,0.011047027850650502,1.6820445324514472
209386,5.80015629224214,1.3835177156824123,-0.0068016760464868035,1.0462571092656
209410,5.2248129203582065,-0.19075079471804418,0.016421587178150218,1.9163361794661118
209479,5.195449432570609,-0.38459859122523554,-0.040385263239248834,1.167620791712749
209555,5.70516763176418,0.3222885564968093,-0.01819566945132945,5.241853011056902
209657,4.401599286192539,0.5616024685587566,-0.019794206560860575,1.061264295713946
209734,5.36890968558248,0.6041051301560657,-0.007117012451577189,4.252572704395264
209814,5.688342468113386,0.2887583521103172,0.011065667661723054,8.000000000000005
209815,4.9528678800894115,1.4514070795227638,0.01193242713095336,1.5966653848648558
209816,6.896415449668631,1.1293705311762736,0.028446984946371164,3.9720929760143595
209818,6.250364830110087,0.5852273145405509,0.03191560988719807,1.0268008160054718
209819,5.755116085403488,1.6857586375479272,0.0019089010346896886,1.7592812555898658
209820,7.043299461737173,-0.9109959991676213,0.030850670262292372,1.847303962911942
209822,5.350020874787707,1.878068476054164,0.004792417171397942,1.0101010101010102
209823,6.9508939429625025,0.7799874065500657,0.03348020354881023,1.0480318128777164
209824,5.558525885637108,1.337922089473208,0.012763950120216989,1.370300483359415
209825,6.302752228257002,0.7132341939901052,0.05817980511617853,1.1774878414232486
209826,6.206216621160808,-0.42071705148982275,0.04744019810639476,1.442011931162392
209828,5.964694047922682,1.2274214794103495,0.001677380137800039,8.00000000000291
209829,5.7039399783028655,0.14772671456067105,0.024401262113166306,1.7623835580126266
209831,6.674746417869859,-0.2386021136516106,0.005695231176244562,2.143618649537697
209832,5.493329871065641,0.5403964017406931,0.025874279667006547,1.5690313271056529
209835,5.934043651831072,0.5589217280497112,0.02395012582760648,3.100005328393315
209872,3.7879152744619082,1.2301611275871764,0.01972207746597214,4.812437233043252
209959,5.677144434013716,0.6579537139882822,0.01636924095412289,3.594238063337981
209973,6.532189057554167,0.6194278393053956,-0.05712459713720762,2.663311461949407
209974,7.479989060692114,-0.6708420782623592,0.04588869238560271,3.9410052395575685
209982,5.901479297234247,0.34977670114421744,0.013408117430685587,1.0646203699875025
210072,5.496506680596374,0.5260126106570512,0.0014588696650692664,7.999999999999943
210087,6.2359320331164465,-0.2618181970787074,0.039906856679510126,1.2516209340902495
210089,5.713811404007416,0.7453874128322495,0.020288781814821414,5.170606918999539
210114,5.388687355601218,0.4989186887817989,0.03990396507079153,1.5795275881429263
210124,6.57988608132829,0.06996453841341385,0.022291056929067896,1.642945633856964
210130,6.626766511100328,0.6054857879764515,0.0250176068978281,8.000000000024217
210143,5.013981771836888,0.3296470013160071,0.01445986038227301,7.718426516090915
210164,6.550457178963801,-0.11536064905234797,0.016560961726252446,1.2300438227190071
210618,7.277040534115756,0.20318575703659175,0.02590629014256419,1.561760519004368
210775,6.209568516663445,-0.03284001922645949,0.026603040082186873,1.5260813123927903
210783,3.901664606950862,0.5161780101495488,0.008948869547672338,1.4415591183091265
210826,5.056172206368762,1.0037149177824072,0.01979253612716116,3.230649656099429
210832,6.8085656140525765,0.586981061732881,-0.010720105337201627,1.8158760282181936
210835,5.750135252453825,0.8663535113256702,0.01710695684266078,1.038904571657521
210923,6.226347291288028,-0.10044138290189418,-0.007323437917176186,1.2595414162496819
210989,6.200277588821574,0.8314260621731997,-0.015001513092037459,1.032443969387168
210997,4.834037940723428,-0.5148092683667067,0.07327927185092412,4.2960509680877035
211012,6.207783028088152,0.14692624021008122,0.004255169611317031,1.1171502035424123
211013,4.675901044994849,0.2524257237155486,-0.03686075640029563,1.8192833149876628
211014,6.198159486940075,-0.4859394419318869,0.01323611963968182,1.0779806340969904
211017,4.353831440460986,0.6989376888930013,-0.07844919586326508,1.0691329592493077
211018,6.072733080244655,0.4708242707810929,-0.07763384667359646,2.0860306245501476
211019,6.682760078067009,0.10465571743285704,-0.03706958125493032,2.4081600001541275
211020,5.65223769437082,1.1012304469236727,-0.003269664152765978,1.0655619565586576
211021,6.805812009902912,-5.292508406522154,0.13589744046609953,8.00000000681443
211023,5.726407279909709,-0.5560348152138017,0.04759232376196957,7.999999999999691
211024,5.00061296441126,0.9502628329002591,-0.0301095122956388,1.0386883999282999
